Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
maximizeWindow(),Chrome 110.0.0.0,,,2023-02-08 22:19:20,2023-02-08 22:19:21,0.906s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Tech For Business/a_Tech for Business""))",Chrome 110.0.0.0,,,2023-02-08 22:19:21,2023-02-08 22:19:26,4.681s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Tech For Business/button_Add to Cart""))",Chrome 110.0.0.0,,,2023-02-08 22:19:26,2023-02-08 22:19:59,33.672s,FAILED
,,,,,,,
Test Cases/Incredible Connection/Track My Order,Chrome 110.0.0.0,,,2023-02-08 22:19:59,2023-02-08 22:20:27,27.962s,PASSED
"callTestCase(findTestCase(""Incredible Connection/Landing Page""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-08 22:20:00,2023-02-08 22:20:17,16.923s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Track Order/div_Track my OrderTrack""))",Chrome 110.0.0.0,,,2023-02-08 22:20:17,2023-02-08 22:20:18,0.969s,PASSED
"setText(findTestObject(""Object Repository/OR_Incredible Connection/Track Order/input_Email_email""), ""deolindo9@gmail.com"")",Chrome 110.0.0.0,,,2023-02-08 22:20:18,2023-02-08 22:20:19,1.390s,PASSED
"setText(findTestObject(""Object Repository/OR_Incredible Connection/Track Order/input_Order Number_order_id""), ""97676898"")",Chrome 110.0.0.0,,,2023-02-08 22:20:19,2023-02-08 22:20:20,1.072s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Track Order/button_Track Order""))",Chrome 110.0.0.0,,,2023-02-08 22:20:20,2023-02-08 22:20:21,0.848s,PASSED
"takeScreenshotAsCheckpoint(""track_my_order"")",Chrome 110.0.0.0,,,2023-02-08 22:20:21,2023-02-08 22:20:27,6.341s,PASSED
,,,,,,,
Test Cases/Incredible Connection/Unsuccessful Login,Chrome 110.0.0.0,,,2023-02-08 22:20:27,2023-02-08 22:21:02,34.172s,PASSED
"callTestCase(findTestCase(""Incredible Connection/Landing Page""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-08 22:20:28,2023-02-08 22:20:45,17.298s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Page_Home - Incredible Connection/div_My Account""))",Chrome 110.0.0.0,,,2023-02-08 22:20:45,2023-02-08 22:20:46,0.639s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Page_Home - Incredible Connection/a_Sign In""))",Chrome 110.0.0.0,,,2023-02-08 22:20:46,2023-02-08 22:20:49,3.553s,PASSED
"setText(findTestObject(""Object Repository/OR_Incredible Connection/Page_Customer Login - Incredible Connection/input_Email Address_loginusername""), ""test@test.com"")",Chrome 110.0.0.0,,,2023-02-08 22:20:49,2023-02-08 22:20:55,5.464s,PASSED
"setEncryptedText(findTestObject(""Object Repository/OR_Incredible Connection/Page_Customer Login - Incredible Connection/input_Password_loginpassword""), ""iFGeFYmXIrWl+1q0scI6aQ=="")",Chrome 110.0.0.0,,,2023-02-08 22:20:55,2023-02-08 22:20:55,0.585s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Page_Customer Login - Incredible Connection/button_Sign In""))",Chrome 110.0.0.0,,,2023-02-08 22:20:55,2023-02-08 22:20:56,0.481s,PASSED
"verifyElementText(findTestObject(""Object Repository/OR_Incredible Connection/Page_Customer Login - Incredible Connection/div_Your account sign-in was incorrect. Ple_4353bf""), ""Your account sign-in was incorrect. Please try again."")",Chrome 110.0.0.0,,,2023-02-08 22:20:56,2023-02-08 22:21:01,4.772s,PASSED
"takeScreenshotAsCheckpoint(""unsuccessful_login"")",Chrome 110.0.0.0,,,2023-02-08 22:21:01,2023-02-08 22:21:02,0.951s,PASSED
,,,,,,,
Test Cases/Incredible Connection/Voucher,Chrome 110.0.0.0,,,2023-02-08 22:21:02,2023-02-08 22:27:46,6m - 43.967s,PASSED
"callTestCase(findTestCase(""Incredible Connection/Landing Page""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-08 22:21:02,2023-02-08 22:21:19,17.086s,PASSED
maximizeWindow(),Chrome 110.0.0.0,,,2023-02-08 22:21:19,2023-02-08 22:21:20,0.848s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Voucher/a_Buy  Get Registration""))",Chrome 110.0.0.0,,,2023-02-08 22:21:20,2023-02-08 22:21:25,4.777s,PASSED
"setText(findTestObject(""Object Repository/OR_Incredible Connection/Voucher/input_First Name_field149""), ""Voucher"")",Chrome 110.0.0.0,,,2023-02-08 22:21:25,2023-02-08 22:22:28,1m - 3.338s,PASSED
"setText(findTestObject(""Object Repository/OR_Incredible Connection/Voucher/input_CellPhone_field150""), ""0784492053"")",Chrome 110.0.0.0,,,2023-02-08 22:22:28,2023-02-08 22:23:31,1m - 2.962s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Voucher/div_Cookie and privacy policy_btn-cookie-allow""))",Chrome 110.0.0.0,,,2023-02-08 22:23:31,2023-02-08 22:23:31,0.424s,PASSED
"setText(findTestObject(""Object Repository/OR_Incredible Connection/Voucher/input_Last name_field151""), ""Test"")",Chrome 110.0.0.0,,,2023-02-08 22:23:31,2023-02-08 22:24:35,1m - 3.158s,PASSED
"setText(findTestObject(""Object Repository/OR_Incredible Connection/Voucher/input_Street Address_field152""), ""Test address"")",Chrome 110.0.0.0,,,2023-02-08 22:24:35,2023-02-08 22:25:38,1m - 3.176s,PASSED
"setText(findTestObject(""Object Repository/OR_Incredible Connection/Voucher/input_E-mail Address_field153""), ""test@test.com"")",Chrome 110.0.0.0,,,2023-02-08 22:25:38,2023-02-08 22:26:41,1m - 3.320s,PASSED
"click(findTestObject(""Object Repository/OR_Incredible Connection/Voucher/span_Submit""))",Chrome 110.0.0.0,,,2023-02-08 22:26:41,2023-02-08 22:27:13,31.711s,PASSED
"verifyElementText(findTestObject(""Object Repository/OR_Incredible Connection/Voucher/div_This is a required field""), ""This is a required field."")",Chrome 110.0.0.0,,,2023-02-08 22:27:13,2023-02-08 22:27:45,31.821s,PASSED
"takeScreenshotAsCheckpoint(""voucher"")",Chrome 110.0.0.0,,,2023-02-08 22:27:45,2023-02-08 22:27:46,0.984s,PASSED
,,,,,,,
Test Cases/Incredible Connection/Warranty Registration,Chrome 110.0.0.0,,,2023-02-08 22:27:46,2023-02-08 22:28:42,56.761s,FAILED
"callTestCase(findTestCase(""Incredible Connection/Landing Page""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-08 22:27:46,2023-02-08 22:28:05,18.559s,PASSED
maximizeWindow(),Chrome 110.0.0.0,,,2023-02-08 22:28:05,2023-02-08 22:28:06,1.029s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/OR_Incredible Connection/Warranties Registration/select_Eastern CapeFree StateGautengKwaZulu_fc21b0""), ""Western Cape"", true)",Chrome 110.0.0.0,,,2023-02-08 22:28:06,2023-02-08 22:28:42,36.735s,FAILED
